INCIDENT_KEY,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
228798151,1058925,180924,40.662964620000000,-73.73083868899990,POINT (-73.73083868899994 40.662964620000025)
137471050,1005028.000000000000000,234516.000000000000000,40.810351863000100,-73.92494232600000,POINT (-73.92494232599995 40.81035186300006)
147998800,1007667.937500000000000,209836.531250000000000,40.742606633000000,-73.915491742000000,POINT (-73.91549174199997 40.74260663300004)
146837977,1006537.375000000000000,244511.140625000000000,40.837782003000000,-73.919456614999900,POINT (-73.91945661499994 40.83778200300003)
58921844,1024921.812500000000000,262189.406250000000000,40.886237918000100,-73.852909509000000,POINT (-73.85290950899997 40.88623791800006)
219559682,1004234.312500000000000,186461.703125000000000,40.678456718000100,-73.927952241000000,POINT (-73.92795224099996 40.678456718000064)
85295722,998860.000000000000000,214885.000000000000000,40.756482343000100,-73.947266494000000,POINT (-73.94726649399996 40.75648234300007)
71662474,1002882.875000000000000,192219.703125000000000,40.694264056000100,-73.932808636999900,POINT (-73.93280863699994 40.694264056000065)
83002139,1054366.375000000000000,196628.406250000000000,40.706106731000000,-73.747106539000000,POINT (-73.74710653899996 40.706106731000034)
86437261,1053936.625000000000000,157130.421875000000000,40.597697198000000,-73.749064642000000,POINT (-73.74906464199995 40.59769719800005)
74998200,999061.375000000000000,229911.671875000000000,40.797726265000100,-73.94650650800000,POINT (-73.94650650799997 40.79772626500005)
74363835,1013136.000000000000000,179968.000000000000000,40.660608391000000,-73.895886942999900,POINT (-73.89588694299994 40.66060839100004)
234756217,996148,181562,40.66502269100010,-73.95711436800000,POINT (-73.95711436799998 40.66502269100005)
78961869,1010353.437500000000000,261534.281250000000000,40.884494922000000,-73.905599375000000,POINT (-73.90559937499995 40.884494922000044)
53891791,988398.437500000000000,187950.625000000000000,40.682565055000100,-73.985044211999900,POINT (-73.98504421199993 40.682565055000055)
32914993,1026013.000000000000000,261421.125000000000000,40.884124133000100,-73.848967963999900,POINT (-73.84896796399994 40.88412413300006)
73879554,999967.437500000000000,240325.562500000000000,40.826307931000000,-73.943209657000000,POINT (-73.94320965699995 40.82630793100003)
87694905,1005555.750000000000000,186370.937500000000000,40.678204504000100,-73.923188367000000,POINT (-73.92318836699998 40.678204504000064)
230311079,1009826,183194,40.66947322100000,-73.90780500800000,POINT (-73.90780500799997 40.66947322100003)
225297069,995792,178767,40.65735150300000,-73.95840237600000,POINT (-73.95840237599998 40.65735150300002)
140791304,996721.687500000000000,238202.937500000000000,40.820487105000000,-73.954941463000000,POINT (-73.95494146299995 40.82048710500004)
140340393,988897.437500000000000,192615.234375000000000,40.695368090000000,-73.983241845999900,POINT (-73.98324184599994 40.695368090000045)
215767018,988609.750000000000000,186251.375000000000000,40.677900897000000,-73.984283422000000,POINT (-73.98428342199998 40.67790089700003)
10619080,1000273.187500000000000,194683.031250000000000,40.701030427000000,-73.942213680999900,POINT (-73.94221368099994 40.701030427000035)
34979907,1026387.000000000000000,262634.000000000000000,40.887451313000000,-73.847607787000000,POINT (-73.84760778699996 40.88745131300004)
165264362,1057645.000000000000000,193887.984375000000000,40.698558361000000,-73.735311170000000,POINT (-73.73531116999999 40.69855836100004)
64110714,985518.875000000000000,147974.046875000000000,40.572838635000000,-73.995434012000000,POINT (-73.99543401199998 40.57283863500004)
78644238,1012125.312500000000000,247567.421875000000000,40.846154729000000,-73.899249557000000,POINT (-73.89924955699996 40.846154729000034)
151624171,1023658.375000000000000,263623.781250000000000,40.89018055400000,-73.857470355000000,POINT (-73.85747035499998 40.89018055400004)
89514645,1024828.062500000000000,178336.046875000000000,40.656083182000000,-73.853754850000000,POINT (-73.85375484999997 40.65608318200003)
10187514,996400.812500000000000,233385.218750000000000,40.807264259000100,-73.956109499000000,POINT (-73.95610949899998 40.807264259000085)
84704352,1016585.562500000000000,179939.921875000000000,40.660519398000100,-73.883453750999900,POINT (-73.88345375099993 40.660519398000076)
34864269,999634.000000000000000,190253.000000000000000,40.688872153000000,-73.944529031999900,POINT (-73.94452903199993 40.688872153000034)
