INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME
92431740,09/03/2013,23:50:00
83871104,03/25/2012,20:32:00
23749375,08/07/2006,22:06:00
216692583,08/17/2020,04:10:00
37695073,01/11/2008,19:03:00
228109390,05/12/2021,23:11:00
26805787,02/10/2007,18:45:00
83751047,03/19/2012,14:29:00
73037921,06/04/2010,03:40:00
54080623,11/16/2008,02:05:00
57938888,02/17/2009,18:30:00
79606253,07/02/2011,13:36:00
63389656,07/04/2009,22:07:00
24675455,10/06/2006,13:40:00
47405920,06/21/2008,21:00:00
62014857,05/22/2009,20:12:00
85518939,07/01/2012,01:30:00
238344522,12/27/2021,15:48:00
71710225,03/11/2010,10:49:00
83005768,02/05/2012,01:15:00
66656614,10/10/2009,06:20:00
66027258,09/22/2009,15:22:00
75506782,11/10/2010,23:44:00
45970311,04/26/2008,03:13:00
179645492,05/02/2018,23:56:00
145735237,08/30/2015,00:55:00
73308856,06/21/2010,03:20:00
79005893,05/29/2011,05:19:00
85875439,07/22/2012,21:35:00
229507545,06/12/2021,05:51:00
213922505,06/05/2020,19:35:00
85744760,07/15/2012,02:21:00
64169804,07/28/2009,00:30:00
62267915,05/30/2009,20:50:00
82674271,01/17/2012,02:30:00
63839079,07/18/2009,02:40:00
166951006,07/11/2017,23:10:00
216651448,08/15/2020,18:30:00
82009221,12/03/2011,00:06:00
33706908,08/12/2007,18:55:00
168528147,08/27/2017,05:20:00
141799308,04/01/2015,01:19:00
174579540,02/09/2018,03:15:00
10879217,04/02/2006,03:47:00
62725594,06/13/2009,03:10:00
142324890,04/21/2015,15:36:00
23749375,08/07/2006,22:06:00
186606592,08/18/2018,04:23:00
227665924,05/03/2021,00:18:00
153970014,06/13/2016,16:49:00
220154695,11/05/2020,17:43:00
170307135,10/11/2017,21:09:00
150515936,02/19/2016,14:35:00
74342175,08/26/2010,21:02:00
72949717,05/29/2010,02:30:00
143677939,06/13/2015,02:15:00
61170265,04/25/2009,23:40:00
71997656,03/30/2010,16:45:00
88890624,01/30/2013,01:20:00
73911288,07/29/2010,01:34:00
72519493,05/03/2010,07:35:00
143641822,06/12/2015,02:15:00
28349211,04/07/2007,01:58:00
151527279,03/25/2016,02:25:00
79803017,07/13/2011,23:59:00
156932321,09/22/2016,12:26:00
143186570,05/25/2015,21:04:00
215817239,07/27/2020,23:40:00
216056537,08/01/2020,18:00:00
82140942,12/12/2011,10:52:00
74560110,09/11/2010,04:01:00
80086639,08/01/2011,21:41:00
74451277,09/02/2010,03:45:00
82323220,12/24/2011,02:13:00
87368205,10/22/2012,22:25:00
68296786,11/29/2009,02:17:00
152012483,04/09/2016,03:03:00
50703401,09/01/2008,01:57:00
86207309,08/12/2012,02:12:00
233147094,09/04/2021,15:39:00
183565220,06/06/2018,00:13:00
235857196,11/03/2021,02:25:00
46004429,04/24/2008,02:30:00
72939622,05/27/2010,01:16:00
157639146,10/16/2016,00:49:00
89231142,02/19/2013,23:25:00
211065733,03/14/2020,00:50:00
79401340,06/20/2011,16:40:00
155890469,08/17/2016,21:55:00
73717905,07/17/2010,01:20:00
37256918,12/25/2007,03:45:00
58892889,02/18/2009,10:00:00
25511190,11/28/2006,19:26:00
232924791,08/30/2021,20:20:00
147064699,10/19/2015,18:47:00
45610182,04/12/2008,22:07:00
54515432,11/30/2008,09:30:00
238312741,12/26/2021,22:20:00
80991314,09/30/2011,23:40:00
62725595,06/13/2009,03:45:00
223928176,02/03/2021,19:20:00
76854526,01/16/2011,03:00:00
201851566,08/30/2019,22:49:00
29259597,05/27/2007,00:20:00
207701108,01/09/2020,03:34:00
10333320,02/03/2006,00:59:00
80102963,08/02/2011,15:57:00
139195504,10/15/2014,23:30:00
23354077,07/02/2006,04:35:00
93607540,11/15/2013,22:37:00
228798150,05/27/2021,21:06:00
26543083,01/28/2007,06:00:00
11118232,04/26/2006,18:26:00
216351812,08/07/2020,14:40:00
87447312,10/26/2012,21:57:00
152967559,05/11/2016,16:40:00
71863154,03/22/2010,11:12:00
25544431,11/30/2006,23:00:00
70881714,01/24/2010,01:30:00
72616285,05/09/2010,01:58:00
32949484,07/07/2007,04:15:00
76623745,12/28/2010,19:57:00
85578750,07/04/2012,01:30:00
56320324,02/04/2009,16:32:00
85491311,06/28/2012,23:29:00
230448906,07/04/2021,02:00:00
24335997,09/16/2006,01:26:00
140088780,12/05/2014,17:55:00
35920684,11/25/2007,14:37:00
214184464,06/13/2020,23:02:00
196364281,04/23/2019,22:54:00
87898766,11/30/2012,06:03:00
68296785,11/29/2009,03:30:00
79196799,06/07/2011,23:10:00
73600076,07/09/2010,12:54:00
158263711,11/05/2016,23:35:00
25078540,10/31/2006,20:19:00
50685010,08/31/2008,20:50:00
199467225,07/08/2019,17:40:00
24347272,09/15/2006,22:32:00
137813042,07/20/2014,18:56:00
74805996,09/28/2010,01:38:00
93853480,12/03/2013,01:02:00
80880412,09/25/2011,03:15:00
23354129,07/09/2006,00:05:00
140697084,01/24/2015,05:40:00
66101680,09/23/2009,17:40:00
88160398,12/17/2012,18:08:00
67692447,11/10/2009,01:25:00
197706724,05/28/2019,03:10:00
23501822,07/22/2006,04:22:00
229542172,06/14/2021,21:20:00
11118192,04/17/2006,21:00:00
92386266,08/31/2013,03:41:00
72627098,05/07/2010,00:11:00
236094286,11/09/2021,16:44:00
141680565,03/26/2015,14:47:00
220863880,11/22/2020,13:19:00
26022835,12/31/2006,04:14:00
146477563,09/27/2015,21:45:00
167343776,07/23/2017,23:21:00
45496103,04/10/2008,16:15:00
72083623,04/05/2010,02:00:00
34720462,09/30/2007,01:50:00
189046703,10/19/2018,17:40:00
234475687,10/04/2021,13:10:00
207572465,01/07/2020,13:30:00
197953467,06/01/2019,22:12:00
53790045,11/05/2008,02:14:00
206843560,12/25/2019,22:50:00
60025212,03/28/2009,02:45:00
138632299,09/10/2014,14:30:00
33227816,07/22/2007,22:02:00
78656424,05/10/2011,17:29:00
74962970,10/07/2010,13:45:00
206873499,12/27/2019,22:40:00
65640276,09/10/2009,21:40:00
69526317,01/03/2010,05:16:00
148364099,12/08/2015,04:11:00
199786226,07/15/2019,00:07:00
227089382,04/16/2021,10:45:00
222539215,01/01/2021,01:11:00
26131954,01/07/2007,03:06:00
228109390,05/12/2021,23:11:00
222717380,01/06/2021,17:08:00
26699360,02/05/2007,18:08:00
137593716,07/07/2014,00:01:00
170219562,10/09/2017,19:17:00
