INCIDENT_KEY,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
228798151,1058925.0,180924.0,40.66296462,-73.7308386889999
137471050,1005028.0,234516.0,40.81035186300009,-73.924942326
147998800,1007667.9375,209836.53125,40.742606633,-73.915491742
146837977,1006537.375,244511.140625,40.837782003,-73.9194566149999
58921844,1024921.8125,262189.40625,40.8862379180001,-73.852909509
219559682,1004234.3125,186461.703125,40.6784567180001,-73.927952241
85295722,998860.0,214885.0,40.756482343000094,-73.947266494
71662474,1002882.875,192219.703125,40.694264056000094,-73.93280863699991
83002139,1054366.375,196628.40625,40.706106731,-73.747106539
86437261,1053936.625,157130.421875,40.597697198,-73.749064642
74998200,999061.375,229911.671875,40.797726265000094,-73.946506508
74363835,1013136.0,179968.0,40.660608391,-73.89588694299991
234756217,996148.0,181562.0,40.6650226910001,-73.957114368
78961869,1010353.4375,261534.28125,40.884494922,-73.905599375
53891791,988398.4375,187950.625,40.6825650550001,-73.9850442119999
32914993,1026013.0,261421.125,40.88412413300009,-73.84896796399991
73879554,999967.4375,240325.5625,40.826307931,-73.943209657
87694905,1005555.75,186370.9375,40.6782045040001,-73.923188367
230311079,1009826.0,183194.0,40.669473221,-73.907805008
225297069,995792.0,178767.0,40.657351503,-73.958402376
140791304,996721.6875,238202.9375,40.820487105,-73.954941463
140340393,988897.4375,192615.234375,40.69536809,-73.9832418459999
215767018,988609.75,186251.375,40.677900897,-73.984283422
10619080,1000273.1875,194683.03125,40.701030427,-73.9422136809999
34979907,1026387.0,262634.0,40.887451313,-73.847607787
165264362,1057645.0,193887.984375,40.698558361,-73.73531117
64110714,985518.875,147974.046875,40.572838635,-73.995434012
78644238,1012125.3125,247567.421875,40.846154729,-73.899249557
151624171,1023658.375,263623.78125,40.890180554,-73.857470355
89514645,1024828.0625,178336.046875,40.656083182,-73.85375485
10187514,996400.8125,233385.21875,40.80726425900009,-73.956109499
84704352,1016585.5625,179939.921875,40.6605193980001,-73.8834537509999
34864269,999634.0,190253.0,40.688872153,-73.9445290319999
11118846,990611.875,188299.203125,40.6835205090001,-73.977063313
174579538,962950.6875,172726.90625,40.64075466,-74.076748213
94046068,1020978.75,181163.28125,40.663860112000094,-73.867612659
80165538,998754.5,194329.921875,40.700063843000095,-73.9476916
86437257,1009904.75,180751.46875,40.66276879,-73.9075304249999
33635440,1015368.5,185468.5,40.6756984630001,-73.88781490799991
235757726,1000382.0,192387.0,40.694728158,-73.9418267469999
233762539,998288.0,227463.0,40.791006586,-73.94930486
158566071,1007915.375,183324.453125,40.6698365990001,-73.914691972
166268793,1008949.8125,180854.5625,40.663054475000095,-73.9109720599999
24659051,1013850.9375,185935.734375,40.67698612,-73.8932838759999
226500707,1013711.0,178670.0,40.6570437740001,-73.8938201289999
66629764,1006294.3125,252943.78125,40.8609277140001,-73.9203072999999
85209346,1041906.5625,194066.890625,40.69916595000009,-73.7920681849999
46538075,1003815.5,191542.75,40.692403963000096,-73.929447426
37207873,1021008.5625,182982.65625,40.6688537640001,-73.86749528
94814972,986800.6875,209942.640625,40.742928512,-73.990796587
33654457,998362.5,231047.625,40.800845291,-73.94902827999991
214729488,1009325.6875,191646.71875,40.692675437,-73.909577083
75546157,1017192.3125,182303.828125,40.6670055550001,-73.881255284
88638007,1023179.0,253066.53125,40.8612063190001,-73.859265486
72058235,961252.0,166311.203125,40.623140669000094,-74.082847143
16631430,996949.0625,176623.203125,40.651465665,-73.954236189
55177455,1005390.75,245671.03125,40.840968385000096,-73.923596771
153724448,1001964.0,186901.890625,40.6796697670001,-73.936136211
24248675,1056437.875,196519.828125,40.705792053,-73.739636284
73492927,1016055.9375,181962.265625,40.666072198000094,-73.885353147
16631508,1014901.625,256702.15625,40.8712176180001,-73.889173155
152662569,1006537.8125,170246.609375,40.6339443480001,-73.91970105199991
230418793,1023464.0,262043.0,40.8858426780001,-73.8581826189999
142961824,1013706.25,252409.140625,40.859438669,-73.893514184
69223004,1049832.0,156463.0,40.5958965890001,-73.763851522
224817400,999297.0,233439.0,40.807407416,-73.945647585
138429906,1022332.25,208314.734375,40.738378696,-73.862580448
171866986,1018108.875,174057.375,40.6443674070001,-73.877992784
211767651,1006159.6875,180446.515625,40.66194182,-73.921030262
173914520,1005207.0,233367.0,40.80719775400009,-73.9242992869999
74648839,1006176.375,243359.890625,40.8346230600001,-73.920765003
73719656,1002230.0,176647.0,40.651521835,-73.935204534
82124624,1017215.625,234322.25,40.809783005,-73.880916347
201384969,1006119.9375,181462.625,40.664730913,-73.921170241
235964022,1007170.0,179259.0,40.6586797950001,-73.917392735
140105763,1009021.9375,240724.609375,40.827382449,-73.910491587
63106907,1021795.625,244103.671875,40.836611934000096,-73.864316838
25313903,999584.125,230371.125,40.7989864470001,-73.944617417
65323134,997912.0,182352.0,40.667188518,-73.950754322
88547669,1002985.0,170612.0,40.634955494000096,-73.932500401
28883127,999008.0625,181466.671875,40.6647567310001,-73.946805307
36260245,1006434.0,244344.0,40.83732351100009,-73.9198307569999
45710115,997003.9375,236785.796875,40.81659705,-73.953924392
140591801,1007546.3125,220781.21875,40.7726473180001,-73.915892734
178830276,1018899.1875,259203.5625,40.8780684160001,-73.874706091
93924058,1003019.625,183622.546875,40.670666532,-73.932339444
75866798,1050733.75,197177.78125,40.707642669000094,-73.760203156
166413154,998173.125,227824.0625,40.7919977870001,-73.9497189689999
32787000,1008798.0,238971.0,40.8225699160001,-73.9113071689999
227950667,1003481.0,229777.0,40.797348115,-73.930544331
93312839,983438.6875,185085.53125,40.6747019540001,-74.002926294
